"name","output","price","value"
"其他根菜類","6386","12460","79563"
"胡蘿蔔","111351","8000","890810"
"蘿蔔","101585","7200","731414"
"其他特用作物","28827","47659","1373881"
"山藥","14398","35000","503936"
"香花作物","103","155000","15981"
"樹薯","726","10000","7259"
"芝麻","948","178010","168784"
"菸草","1928","196380","378684"
"茶葉","16780","292400","4906438"
"生食用甘蔗","51044","9340","476754"
"製糖甘蔗","613228","954","585018"
"其他豆類","490","25117","12307"
"綠豆","70","75400","5313"
"紅豆","8550","66420","567899"
"花豆","25","22000","543"
"落花生","56941","48520","2762760"
"大豆","220","25000","5489"
"其他糧食作物","548","33000","18075"
"甘藷","229038","10200","2336188"
"蜀黍","719","14000","10073"
"栗","479","25000","11963"
"小麥","364","22000","8003"
"食用玉米","87579","13000","1138524"
"飼料玉米","45981","15000","689718"
"稻米","1276534","26458","33775015"
"蠶","-","-","-"
"盆花類(公頃)","775","1224860","949560"
"苗圃類(公頃)","8048","331701","2669409"
"種籽類","0","900000","74"
"球根類","37","43000","1612"
"蘭花","68503","47500","3253899"
"其他切花","26010","70812","1841852"
"天堂鳥","330","90600","29936"
"非洲菊","6515","37200","242375"
"火鶴花","4558","144000","656336"
"滿天星","128","60000","7663"
"玫瑰","12151","49800","605141"
"百合","5741","251400","1443316"
"香石竹","4711","39600","186566"
"洋桔梗","1756","120000","210682"
"大理花","287","54000","15524"
"夜來香","1395","57360","80022"
"唐菖蒲","3939","62400","245803"
"菊花","19015","44400","844245"
"其他青果類","32580","31382","1022421"
"可可椰子","32997","5270","173895"
"百香果","7056","30000","211682"
"番荔枝","64243","43000","2762431"
"棗","34187","39500","1350383"
"木瓜","129322","22300","2883879"
"蘋果","2186","53600","117182"
"梨","174858","35000","6120022"
"楊桃","15727","18500","290940"
"橄欖","2551","22500","57391"
"荔枝","89440","33400","2987310"
"梅","49695","17570","873141"
"柿","58401","31400","1833784"
"桃","28348","46450","1316763"
"李","24826","23000","571004"
"枇杷","9212","83820","772125"
"葡萄","102831","42930","4414535"
"蓮霧","59675","48200","2876325"
"番石榴","167009","19600","3273377"
"檳榔","131737","62916","8288370"
"芒果","135293","37200","5032899"
"龍眼","100436","25230","2533998"
"其他雜柑類","58465","26596","1554931"
"葡萄柚","9207","16000","147314"
"檸檬","18105","24800","449006"
"柳橙","185289","10860","2012233"
"白柚","12720","23000","292570"
"斗柚","1341","17000","22802"
"文旦柚","88100","25000","2202493"
"桶柑","52546","25000","1313650"
"椪柑","102341","21400","2190094"
"鳳梨","420172","16760","7042078"
"香蕉","287895","13820","3978714"
"香菇","4540","846940","3845349"
"洋菇","3149","78000","245638"
"草莓","5473","91320","499813"
"洋香瓜","41156","30000","1234681"
"香瓜","27726","30000","831787"
"西瓜","225925","11000","2485170"
"其他果菜類","129498","20736","2685212"
"毛豆","51339","14740","756738"
"荷蘭豆","6222","47000","292448"
"菜豆","13380","28000","374640"
"番椒","23503","29130","684632"
"蕃茄","116034","21500","2494741"
"茄子","25416","20500","521029"
"苦瓜","30742","26000","799287"
"冬瓜","35996","6000","215974"
"胡瓜","44556","16000","712894"
"越瓜","4265","8000","34119"
"金針菜","386","503900","194669"
"花椰菜","87842","18780","1649680"
"其他葉菜類","256781","15352","3942140"
"不結球白菜","76210","14500","1105042"
"結球白菜","100494","9900","994894"
"甘藍","329149","9410","3097297"
"芹菜","28115","22870","643001"
"甕菜","34187","20000","683748"
"大芥菜","32225","11000","354479"
"其他莖菜類","41341","15954","659557"
"荸薺","54","30000","1617"
"蘆筍","2657","72000","191328"
"竹筍","292209","26440","7725999"
"韭菜","37908","19650","744899"
"茭白筍","46403","42000","1948911"
"蒜頭","44916","70000","3144130"
"蒜","13753","27170","373660"
"洋蔥","58059","15600","905722"
"馬鈴薯","60684","13000","788897"
"蔥頭","10411","26000","270674"
"蔥","111205","26500","2946943"
"芋","53212","23000","1223872"
"薑","34864","28000","976193"
"其他根菜類","15318","11545","176841"
"胡蘿蔔","108178","9000","973604"
"蘿蔔","95113","7850","746634"
"其他特用作物","31699","61212","1940379"
"山藥","17337","26000","450757"
"香花作物","139","145000","20152"
"樹薯","610","10000","6103"
"芝麻","947","161370","152833"
"菸草","1753","202000","354166"
"茶葉","17467","367000","6410527"
"生食用甘蔗","47124","8660","408093"
"製糖甘蔗","665359","1194","794306"
"其他豆類","594","24000","14253"
"綠豆","173","79000","13686"
"紅豆","8693","84890","737962"
"花豆","62","20000","1240"
"落花生","65036","53320","3467744"
"大豆","204","25000","5092"
"其他糧食作物","489","31736","15522"
"甘藷","209191","11400","2384772"
"蜀黍","4411","24640","108680"
"栗","477","25000","11927"
"小麥","5178","31000","160516"
"食用玉米","81237","12700","1031716"
"飼料玉米","34551","15000","518262"
"稻米","1167973","25990","30355766"
"蠶","-","-","-"
"盆花類(公頃)","821","1199420","984544"
"苗圃類(公頃)","7454","421330","3140493"
"種籽類","0","900000","385"
"球根類","0","43000","1"
"蘭花","68343","67055","4582750"
"其他切花","26544","70090","1860455"
"天堂鳥","344","92040","31655"
"非洲菊","7450","36000","268209"
"火鶴花","4817","132000","635796"
"滿天星","64","60000","3866"
"玫瑰","11266","54000","608355"
"百合","7630","239280","1825761"
"香石竹","3841","39600","152118"
"洋桔梗","2626","117600","308872"
"大理花","379","48000","18195"
"夜來香","1296","52920","68584"
"唐菖蒲","3475","61200","212650"
"菊花","20512","50400","1033802"
"其他青果類","35455","35872","1271852"
"可可椰子","29785","5580","166199"
"百香果","7516","28000","210443"
"番荔枝","59739","46200","2759936"
"棗","31050","41450","1287033"
"木瓜","151183","18830","2846783"
"蘋果","1667","64060","106798"
"梨","150013","38400","5760495"
"楊桃","15975","19900","317897"
"橄欖","2262","21400","48408"
"荔枝","90471","35200","3184568"
"梅","42010","20510","861615"
"柿","90100","31050","2797606"
"桃","29719","53000","1575108"
"李","23656","23600","558271"
"枇杷","7994","95670","764788"
"葡萄","107280","43400","4655962"
"蓮霧","78109","39750","3104844"
"番石榴","168848","18350","3098370"
"檳榔","129316","62500","8082246"
"芒果","169380","38250","6478771"
"龍眼","112156","23140","2595296"
"其他雜柑類","63489","24342","1545409"
"葡萄柚","9711","18790","182473"
"檸檬","23833","28160","671141"
"柳橙","178829","11730","2097659"
"白柚","13264","25620","339829"
"斗柚","1043","17500","18258"
"文旦柚","69668","25740","1793245"
"桶柑","54739","23750","1300047"
"椪柑","142369","17860","2542709"
"鳳梨","401367","16800","6742965"
"香蕉","305740","15050","4601381"
"香菇","4716","946180","4462406"
"洋菇","4097","92440","378711"
"草莓","7348","103840","762994"
"洋香瓜","44459","33330","1481827"
"香瓜","33390","43610","1456147"
"西瓜","246643","11528","2843300"
"其他果菜類","124767","17940","2238338"
"毛豆","69231","16640","1152010"
"荷蘭豆","6732","64500","434245"
"菜豆","12299","33850","416317"
"番椒","21611","35791","773475"
"蕃茄","122870","28020","3442826"
"茄子","23123","21920","506854"
"苦瓜","30035","39330","1181266"
"冬瓜","29915","8760","262054"
"胡瓜","45956","14760","678309"
"越瓜","4168","8716","36332"
"金針菜","502","585030","293750"
"花椰菜","90278","18146","1638216"
"其他葉菜類","304995","15835","4829569"
"不結球白菜","88752","15614","1385774"
"結球白菜","94299","9340","880751"
"甘藍","367307","9420","3460109"
"芹菜","25079","22210","557005"
"甕菜","35026","21320","746763"
"大芥菜","32747","11220","367424"
"其他莖菜類","40557","16602","673350"
"荸薺","115","32000","3680"
"蘆筍","3056","72940","222897"
"竹筍","294938","27100","7992818"
"韭菜","41603","20530","854103"
"茭白筍","45353","45940","2083534"
"蒜頭","63939","37020","2367004"
"蒜","14195","41060","582852"
"洋蔥","64801","13710","888419"
"馬鈴薯","63345","12480","790546"
"蔥頭","10402","40000","416099"
"蔥","105826","28340","2999101"
"芋","46882","26690","1251268"
"薑","36617","21280","779210"
"其他根菜類","13667","12291","167970"
"胡蘿蔔","104573","10580","1106387"
"蘿蔔","100996","6350","641325"
"其他特用作物","27390","117197","3209965"
"山藥","13515","30840","416816"
"香花作物","149","172319","25692"
"樹薯","599","10000","5987"
"芝麻","770","227530","175170"
"菸草","1737","200000","347379"
"茶葉","17310","398300","6894424"
"生食用甘蔗","34608","9320","322543"
"製糖甘蔗","653952","1284","839674"
"其他豆類","690","24256","16749"
"綠豆","43","80980","3491"
"紅豆","11498","70010","804959"
"花豆","58","20000","1151"
"落花生","68231","46310","3159771"
"大豆","105","25000","2618"
"其他糧食作物","455","42738","19453"
"甘藷","205868","14910","3069487"
"蜀黍","3416","25810","88174"
"栗","325","60000","19498"
"小麥","4034","31160","125692"
"食用玉米","88135","13600","1198641"
"飼料玉米","35097","15000","526461"
"稻米","1347767","28303","38145866"
"蠶","-","-","-"
"盆花類(公頃)","866","1155503","1000180"
"苗圃類(公頃)","7547","426252","3217118"
"種籽類","4","900000","3947"
"球根類","25","43000","1062"
"蘭花","69654","68300","4757385"
"其他切花","23498","82056","1928157"
"天堂鳥","319","104040","33160"
"非洲菊","7265","42000","305147"
"火鶴花","4352","120000","522242"
"滿天星","88","49000","4311"
"玫瑰","10314","55080","568099"
"百合","6057","296040","1793095"
"香石竹","3426","48360","165695"
"洋桔梗","3484","134000","466898"
"大理花","456","40000","18258"
"夜來香","1210","60840","73619"
"唐菖蒲","3366","63600","214088"
"菊花","17968","60500","1087064"
"其他青果類","37932","40288","1528189"
"可可椰子","28208","5980","168682"
"百香果","7510","30930","232287"
"番荔枝","49864","50460","2516130"
"棗","37912","37330","1415268"
"木瓜","132763","23030","3057530"
"蘋果","1519","66950","101678"
"梨","137911","43370","5981216"
"楊桃","13937","21720","302718"
"橄欖","2073","21900","45402"
"荔枝","81143","40400","3278167"
"梅","31880","17470","556941"
"柿","81894","41070","3363374"
"桃","29130","54460","1586404"
"李","22744","24000","545857"
"枇杷","7364","99660","733866"
"葡萄","99967","45770","4575507"
"蓮霧","81667","40000","3266661"
"番石榴","181178","21080","3819233"
"檳榔","124091","65000","8065946"
"芒果","167247","41950","7016029"
"龍眼","94391","29470","2781715"
"其他雜柑類","59707","25532","1524466"
"葡萄柚","8947","20430","182797"
"檸檬","22822","31750","724600"
"柳橙","162345","14730","2391344"
"白柚","13964","25070","350084"
"斗柚","1013","17500","17728"
"文旦柚","70465","27910","1966680"
"桶柑","53194","25190","1339964"
"椪柑","135796","20910","2839494"
"鳳梨","392211","18410","7220603"
"香蕉","295265","19110","5642506"
"香菇","5334","986040","5259521"
"洋菇","3439","95670","329041"
"草莓","7951","90000","715602"
"洋香瓜","37136","34740","1290118"
"香瓜","29142","46430","1353086"
"西瓜","243067","13000","3159871"
"其他果菜類","118668","19415","2303968"
"毛豆","71713","16396","1175814"
"荷蘭豆","4276","70000","299291"
"菜豆","11794","35000","412793"
"番椒","23378","41561","971623"
"蕃茄","111361","35411","3943431"
"茄子","22045","23500","518059"
"苦瓜","27312","40910","1117346"
"冬瓜","22591","12000","271097"
"胡瓜","45090","18000","811629"
"越瓜","3718","9771","36328"
"金針菜","371","556390","206347"
"花椰菜","77722","24128","1875294"
"其他葉菜類","288670","16687","4817086"
"不結球白菜","95484","20000","1909670"
"結球白菜","88533","12380","1096039"
"甘藍","341279","15108","5155979"
"芹菜","23792","30700","730423"
"甕菜","31757","27300","866953"
"大芥菜","36225","11950","432893"
"其他莖菜類","24904","21375","532316"
"荸薺","325","34000","11052"
"蘆筍","3340","75000","250511"
"竹筍","278903","26788","7471248"
"韭菜","41790","19650","821174"
"茭白筍","41644","48000","1998925"
"蒜頭","46759","54000","2524988"
"蒜","15315","40780","624542"
"洋蔥","44986","17000","764764"
"馬鈴薯","45433","23000","1044959"
"蔥頭","15329","41900","642274"
"蔥","97482","45000","4386706"
"芋","41805","36000","1504988"
"薑","34284","22000","754242"
"其他根菜類","14109","12315","173757"
"胡蘿蔔","101929","18000","1834728"
"蘿蔔","81483","9000","733347"
"其他特用作物","27080","131389","3558027"
"山藥","13961","31680","442274"
"香花作物","137","216599","29736"
"樹薯","673","10000","6725"
"芝麻","620","219480","136008"
"菸草","1642","202650","332751"
"茶葉","14902","452000","6735506"
"生食用甘蔗","29062","10230","297299"
"製糖甘蔗","548455","1150","630723"
"其他豆類","725","24015","17404"
"綠豆","45","81080","3621"
"紅豆","10698","48150","515131"
"花豆","9","20000","174"
"落花生","56845","43830","2491497"
"大豆","159","25000","3981"
"其他糧食作物","424","46749","19835"
"甘藷","220514","15400","3395916"
"蜀黍","3564","25960","92516"
"栗","401","60000","24070"
"小麥","6859","31390","215301"
"食用玉米","75359","16140","1216293"
"飼料玉米","29825","18968","565726"
"稻米","1368215","29050","39746469"
"蠶","-","-","-"
"盆花類(公頃)","926","1105452","1023637"
"苗圃類(公頃)","8343","426248","3556284"
"種籽類","5","900000","4235"
"球根類","11","43000","456"
"蘭花","71592","67620","4841071"
"其他切花","23036","84557","1947886"
"天堂鳥","318","124800","39664"
"非洲菊","6533","48000","313596"
"火鶴花","4284","122400","524331"
"滿天星","113","44100","4987"
"玫瑰","9543","53880","514200"
"百合","5919","316680","1874323"
"香石竹","2915","51360","149717"
"洋桔梗","2870","139200","399440"
"大理花","618","35000","21624"
"夜來香","921","62040","57136"
"唐菖蒲","3343","59800","199884"
"菊花","17693","58700","1038605"
"其他青果類","42727","48381","2067174"
"可可椰子","25757","6030","155317"
"百香果","7959","44940","357667"
"番荔枝","52612","54490","2866819"
"棗","38205","40980","1565637"
"木瓜","118822","26360","3132159"
"蘋果","1292","70460","91016"
"梨","109105","43970","4797348"
"楊桃","12976","22580","293007"
"橄欖","2152","21800","46919"
"荔枝","93221","39420","3674761"
"梅","30706","21700","666317"
"柿","63694","46820","2982146"
"桃","27156","61600","1672797"
"李","21582","27930","602795"
"枇杷","7329","81400","596595"
"葡萄","97256","50300","4891954"
"蓮霧","99526","50500","5026052"
"番石榴","182479","21140","3857610"
"檳榔","124054","68000","8435695"
"芒果","215168","42670","9181220"
"龍眼","90975","35000","3184122"
"其他雜柑類","50856","32328","1644108"
"葡萄柚","9044","17040","154117"
"檸檬","30831","35360","1090194"
"柳橙","160496","19490","3128059"
"白柚","13655","27550","376206"
"斗柚","904","27550","24918"
"文旦柚","62187","28700","1784778"
"桶柑","44903","26690","1198469"
"椪柑","133253","27960","3725753"
"鳳梨","413465","19370","8008823"
"香蕉","291292","22390","6522039"
"香菇","5187","1151000","5969756"
"洋菇","2921","107230","313182"
"草莓","8732","91980","803206"
"洋香瓜","42763","33800","1445398"
"香瓜","27194","46430","1262623"
"西瓜","212690","13000","2764964"
"其他果菜類","141304","16300","2303223"
"毛豆","69877","16400","1145979"
"荷蘭豆","4137","66920","276819"
"菜豆","10267","34810","357387"
"番椒","26586","40420","1074587"
"蕃茄","141881","28770","4081905"
"茄子","25198","20560","518061"
"苦瓜","27686","40190","1112706"
"冬瓜","32726","9420","308276"
"胡瓜","43851","18530","812565"
"越瓜","3634","10680","38813"
"金針菜","326","583320","190109"
"花椰菜","81045","23309","1889045"
"其他葉菜類","272392","16890","4600682"
"不結球白菜","79837","20660","1649434"
"結球白菜","80653","12590","1015419"
"甘藍","354390","15240","5400896"
"芹菜","21019","36160","760029"
"甕菜","33785","26300","888534"
"大芥菜","40023","12280","491485"
"其他莖菜類","27902","19158","534556"
"荸薺","195","56960","11087"
"蘆筍","3328","80660","268464"
"竹筍","267092","26790","7155400"
"韭菜","41421","20430","846228"
"茭白筍","43969","52950","2328142"
"蒜頭","43894","56040","2459814"
"蒜","14647","41410","606549"
"洋蔥","51234","16970","869434"
"馬鈴薯","51327","21940","1126108"
"蔥頭","17297","37160","642753"
"蔥","102789","41880","4304797"
"芋","40222","36350","1462083"
"薑","26351","26640","702001"
"其他根菜類","17077","11450","195544"
"胡蘿蔔","113524","16160","1834541"
"蘿蔔","100629","8620","867419"
"其他特用作物","26999","126012","3402220"
"山藥","11854","35470","420456"
"香花作物","137","315903","43286"
"樹薯","583","10000","5834"
"芝麻","1399","226590","316894"
"菸草","1700","204000","346851"
"茶葉","14718","470000","6917312"
"生食用甘蔗","28112","10212","287079"
"製糖甘蔗","505526","1050","530802"
"其他豆類","786","24327","19111"
"綠豆","224","82230","18460"
"紅豆","11858","59508","705627"
"花豆","12","20000","244"
"落花生","46809","56870","2662031"
"大豆","879","50000","43960"
"其他糧食作物","355","44891","15955"
"甘藷","215093","17188","3697016"
"蜀黍","3300","25940","85605"
"栗","576","80000","46099"
"小麥","4127","31290","129125"
"食用玉米","93465","15200","1420672"
"飼料玉米","39440","9000","354958"
"稻米","1275456","28996","36983554"
"蠶","-","-","-"
"盆花類(公頃)","945","1055102","996544"
"苗圃類(公頃)","8316","432820","3599352"
"種籽類","7","900000","6451"
"球根類","3","43000","129"
"蘭花","73715","66940","4934511"
"其他切花","21986","84984","1868415"
"天堂鳥","359","117600","42243"
"非洲菊","6537","49200","321613"
"火鶴花","4214","126000","530906"
"滿天星","159","42270","6726"
"玫瑰","9525","58800","560078"
"百合","5913","322800","1908675"
"香石竹","3042","46800","142363"
"洋桔梗","2940","145200","426834"
"大理花","468","36050","16888"
"夜來香","886","62520","55379"
"唐菖蒲","3640","58800","214051"
"菊花","17077","59300","1012688"
"其他青果類","55586","60017","3336088"
"可可椰子","23383","6590","154097"
"百香果","9265","47060","435997"
"番荔枝","55938","57090","3193494"
"棗","35304","46460","1640226"
"木瓜","115780","28760","3329822"
"蘋果","1507","94210","141951"
"梨","134549","49970","6723438"
"楊桃","12030","31710","381482"
"橄欖","2292","25400","58208"
"荔枝","93078","39180","3646782"
"梅","34709","19890","690355"
"柿","72764","50390","3666595"
"桃","28677","56520","1620799"
"李","15271","30950","472642"
"枇杷","7189","97230","698998"
"葡萄","82199","66310","5450649"
"蓮霧","82390","56150","4626197"
"番石榴","168392","24680","4155925"
"檳榔","121435","88000","10686248"
"芒果","152932","49830","7620614"
"龍眼","101668","27200","2765367"
"其他雜柑類","56631","39349","2228363"
"葡萄柚","9481","17340","164394"
"檸檬","36520","40580","1481983"
"柳橙","162533","19910","3236033"
"白柚","14122","26980","381020"
"斗柚","871","26980","23495"
"文旦柚","65974","26780","1766792"
"桶柑","59520","33260","1979639"
"椪柑","137136","27710","3800034"
"鳳梨","456243","20040","9143108"
"香蕉","299900","24180","7251579"
"香菇","5025","1281063","6437167"
"洋菇","3110","106844","332318"
"草莓","9036","114423","1033923"
"洋香瓜","42498","32900","1398186"
"香瓜","27056","49504","1339358"
"西瓜","211330","14624","3090485"
"其他果菜類","149249","15857","2366647"
"毛豆","62847","16400","1030691"
"荷蘭豆","5128","65000","333306"
"菜豆","9959","36453","363051"
"番椒","27153","32464","881516"
"蕃茄","136066","23990","3264234"
"茄子","26543","22000","583935"
"苦瓜","27671","39000","1079172"
"冬瓜","28227","10437","294610"
"胡瓜","46775","19547","914316"
"越瓜","3928","9053","35558"
"金針菜","330","665568","219633"
"花椰菜","79451","24850","1974367"
"其他葉菜類","273189","17149","4685045"
"不結球白菜","77919","21610","1683827"
"結球白菜","81082","12062","978015"
"甘藍","376417","12770","4806844"
"芹菜","20289","37170","754129"
"甕菜","28482","28640","815718"
"大芥菜","40681","10659","433624"
"其他莖菜類","30079","18348","551880"
"荸薺","181","62400","11286"
"蘆筍","3243","94372","306005"
"竹筍","277201","26265","7280672"
"韭菜","42427","20262","859652"
"茭白筍","42416","60681","2573870"
"蒜頭","59496","31719","1887168"
"蒜","14168","53957","764465"
"洋蔥","64325","13466","866200"
"馬鈴薯","56284","18250","1027187"
"蔥頭","19853","32380","642853"
"蔥","105647","36510","3857171"
"芋","43608","36241","1580393"
"薑","21865","38007","831028"
"其他根菜類","19764","13318","263222"
"胡蘿蔔","130583","10779","1407559"
"蘿蔔","101349","8717","883455"
"其他特用作物","26535","111292","2953115"
"山藥","12805","33700","431516"
"香花作物","171","551148","94248"
"樹薯","518","10000","5182"
"芝麻","2208","240150","530158"
"菸草","1650","206000","339820"
"茶葉","15200","495000","7523876"
"生食用甘蔗","39463","10237","403980"
"製糖甘蔗","502706","1034","519798"
"其他豆類","358","2497","8950"
"綠豆","158","82200","12976"
"紅豆","11769","66890","787204"
"花豆","4","20000","78"
"落花生","68513","65020","4454733"
"大豆","1173","45000","52788"
"其他糧食作物","523","45741","23918"
"甘藷","234883","19057","4476160"
"蜀黍","2203","26000","57289"
"栗","709","85000","60246"
"小麥","6811","31780","216458"
"食用玉米","103608","16120","1670167"
"硬質玉米","62192","9000","559730"
"稻米(糙米)","1399393","29641","41479191"
"其他綠肥","995","14000","13924"
"青皮豆","17936","14000","251101"
"油菜","9476","14000","132667"
"太陽麻","30246","14000","423440"
"大豆","8071","14000","112989"
"田菁","28551","14000","399721"
"其他","412688","1182","487605"
"狼尾草","291842","1170","341455"
"盤固拉","188808","5230","987464"
"盆花類(公頃)","994","1047631","1041345"
"苗圃類(公頃)","8832","419767","3707340"
"種籽類","4","900000","3645"
"球根類","25","43000","1088"
"蘭花","75085","72300","5428652"
"玉蘭花","133","160210","21283"
"其他切花","22766","79679","1813980"
"天堂鳥","507","119200","60380"
"非洲菊","6746","48000","323819"
"火鶴花","3968","127200","504728"
"滿天星","178","43960","7823"
"玫瑰","8105","57600","466874"
"百合","6214","240480","1494347"
"香石竹","2619","51480","134849"
"洋桔梗","2581","147600","381011"
"大理花","512","32800","16805"
"夜來香","785","61320","48160"
"唐菖蒲","3235","56400","182473"
"菊花","17081","62300","1064144"
"其他青果類","61262","55175","3380144"
"可可椰子","21687","6170","133808"
"百香果","9094","44470","404426"
"番荔枝","55426","58230","3227462"
"棗","34191","44740","1529691"
"木瓜","115115","28530","3284235"
"蘋果","1319","100090","132022"
"梨","127016","47030","5973577"
"楊桃","10759","26330","283290"
"橄欖","1979","21200","41952"
"荔枝","87515","36960","3234552"
"梅","32473","23528","764033"
"柿","60929","49487","3015176"
"桃","27026","56580","1529152"
"李","14003","34880","488411"
"枇杷","6848","105600","723119"
"葡萄","85435","59880","5115837"
"蓮霧","65775","46980","3090099"
"番石榴","150687","27280","4110729"
"檳榔","113182","90000","10186357"
"芒果","166260","41950","6974608"
"龍眼","85189","32950","2806964"
"其他雜柑類","49951","39901","1993109"
"葡萄柚","8550","19995","170948"
"檸檬","38705","36230","1402276"
"柳橙","139494","19920","2778717"
"白柚","10850","28620","310525"
"斗柚","979","24940","24421"
"文旦柚","60895","28350","1726366"
"桶柑","52023","37980","1975826"
"椪柑","108058","29820","3222282"
"鳳梨","493998","20680","10215886"
"香蕉","274066","27410","7512153"
"其他菇類","13259","51946","688741"
"金針菇","20305","45900","932014"
"香菇","5119","1220853","6249222"
"洋菇","4820","104310","502747"
"草莓","8251","138452","1142361"
"洋香瓜","41889","36355","1522876"
"香瓜","29881","44108","1318003"
"西瓜","217466","12708","2763563"
"其他果菜類","154086","17246","2657372"
"毛豆","62428","18581","1159966"
"荷蘭豆","3773","62530","235942"
"菜豆","10146","39624","402033"
"番椒","24865","47970","1192789"
"蕃茄","124288","31212","3879275"
"茄子","25519","29920","763543"
"苦瓜","27773","44900","1247018"
"冬瓜","24076","12754","307067"
"胡瓜","47521","21891","1040288"
"越瓜","3720","10695","39781"
"金針菜","345","607664","209753"
"花椰菜","81313","26802","2179360"
"其他葉菜類","288040","19543","5629088"
"不結球白菜","75943","22492","1708107"
"結球白菜","78421","13257","1039626"
"甘藍","361317","16300","5889471"
"芹菜","21062","29178","614561"
"甕菜","32061","29327","940241"
"大芥菜","28779","10723","308595"
"其他莖菜類","28163","20712","583318"
"荸薺","136","72590","9843"
"蘆筍","3014","100601","303185"
"竹筍","247449","27079","6700685"
"韭菜","32480","26632","865001"
"茭白筍","39873","64200","2559868"
"蒜頭","49716","47419","2357465"
"蒜","13012","46139","600357"
"洋蔥","56614","15690","888269"
"馬鈴薯","64250","18916","1215355"
"蔥頭","11513","53920","620788"
"蔥","97147","41183","4000795"
"芋","40408","39285","1587410"
"薑","24465","37019","905688"
"其他根菜類","16640","15908","264714"
"胡蘿蔔","108956","15450","1683377"
"蘿蔔","89720","11500","1031784"
"其他特用作物","27143","122599","3327730"
"山藥","12237","41580","508817"
"香花作物","146","631062","91911"
"樹薯","525","10000","5248"
"芝麻","1955","215160","420560"
"菸草","1604","206000","330456"
"茶葉","14405","474000","6827835"
"生食用甘蔗","46647","11644","543163"
"製糖甘蔗","618264","1028","635575"
"其他豆類","410","2700","11069"
"綠豆","146","81950","11969"
"紅豆","12765","64930","828831"
"花豆","5","20000","102"
"落花生","62083","56070","3481015"
"其他糧食作物","660","44932","29663"
"甘藷","230481","14287","3292882"
"蜀黍","2913","26000","75739"
"栗","669","85000","56881"
"小麥","7335","31800","233244"
"食用玉米","96613","19860","1918738"
"硬質玉米","68694","9000","618247"
"稻米(糙米)","1260362","29690","37419791"
"其他綠肥","3387","14000","47411"
"青皮豆","6966","14000","97523"
"油菜","7552","14000","105730"
"太陽麻","19916","14000","278824"
"大豆","5343","14000","74800"
"田菁","25414","14000","355795"
"其他","431529","1689","728895"
"狼尾草","284556","1180","335776"
"盤固拉","178520","1040","185661"
"盆花類(公頃)","1019","973284","991475"
"苗圃類(公頃)","9220","404090","3725519"
"種籽類","0","900000","387"
"球根類","34","43000","1472"
"蘭花","74903","72470","5428195"
"玉蘭花","130","115000","14978"
"其他切花","23469","75045","1761241"
"天堂鳥","606","153800","93181"
"非洲菊","5719","52800","301988"
"火鶴花","3327","124000","412552"
"滿天星","291","36010","10463"
"玫瑰","7601","64800","492540"
"百合","6340","403080","2555444"
"香石竹","2473","53880","133219"
"洋桔梗","2472","171600","424168"
"大理花","521","32200","16764"
"夜來香","852","52920","45080"
"唐菖蒲","2719","125000","339842"
"菊花","16072","64700","1039841"
"其他青果類","66691","55831","3723413"
"可可椰子","19633","6650","130559"
"百香果","9397","61670","579531"
"番荔枝","25320","66250","1677445"
"棗","29121","45950","1338097"
"木瓜","105921","31810","3369349"
"蘋果","1483","108050","160233"
"梨","111424","67140","7481031"
"楊桃","9207","30310","279050"
"橄欖","1929","21300","41098"
"荔枝","46576","64220","2991082"
"梅","16613","34860","579115"
"柿","60266","49630","2990983"
"桃","22430","79040","1772844"
"李","13727","40810","560197"
"枇杷","5782","110110","636609"
"葡萄","79680","74940","5971248"
"蓮霧","50675","56400","2858044"
"番石榴","133075","31030","4129326"
"檳榔","99992","92000","9199260"
"芒果","106766","78810","8414265"
"龍眼","68927","43980","3031390"
"其他雜柑類","54643","33348","1822247"
"葡萄柚","8026","20750","166537"
"檸檬","36289","31530","1144195"
"柳橙","131329","21980","2886612"
"白柚","10790","26060","281199"
"斗柚","740","23170","17135"
"文旦柚","61811","31670","1957552"
"桶柑","51924","30720","1595103"
"椪柑","107086","31840","3409625"
"鳳梨","527161","22960","12103611"
"香蕉","257559","29410","7574801"
"其他菇類","10251","60927","624544"
"金針菇","19955","46500","927887"
"香菇","5789","1309731","7582185"
"洋菇","4958","94630","469176"
"草莓","7487","161989","1212765"
"洋香瓜","36234","38490","1394643"
"香瓜","29684","43680","1296608"
"西瓜","201133","18115","3643523"
"其他果菜類","178601","14812","2645352"
"毛豆","61783","19670","1215278"
"荷蘭豆","4501","92270","415297"
"菜豆","9807","40132","393579"
"番椒","26281","58476","1536787"
"蕃茄","118958","45195","5376291"
"茄子","24635","34857","858705"
"苦瓜","26503","48880","1295476"
"冬瓜","28766","16100","463139"
"胡瓜","47926","25000","1198142"
"越瓜","3245","9861","31995"
"金針菜","391","572980","223960"
"花椰菜","85118","36210","3082109"
"其他葉菜類","307975","18157","5591877"
"不結球白菜","92717","24500","2271564"
"結球白菜","80096","17650","1413696"
"甘藍","399667","20636","8247533"
"芹菜","20476","39510","809020"
"甕菜","35858","37598","1348198"
"大芥菜","32224","20400","657378"
"其他莖菜類","31099","18749","583075"
"荸薺","222","41140","9149"
"蘆筍","2021","130489","263694"
"竹筍","239800","30626","7344125"
"韭菜","23056","31939","736396"
