"name","output","price","value"
"李","8090","66060","534411"
"枇杷","5183","178210","923695"
"葡萄","88635","78500","6957853"
"蓮霧","57014","58950","3360968"
"番石榴","179038","24840","4447292"
"檳榔","103767","55500","5759062"
"芒果","162424","45923","7459027"
"龍眼","18251","105930","1933302"
"其他雜柑類","9607","16600","159478"
"葡萄柚","8582","18340","157402"
"檸檬","46105","22180","1022609"
"柳橙","147842","20740","3066233"
"白柚","11158","43410","484367"
"斗柚","649","43410","28158"
"文旦柚","71962","35300","2540275"
"桶柑","54069","27830","1504750"
"椪柑","122027","32000","3904849"
"鳳梨","431084","20520","8845846"
"香蕉","342629","21370","7321973"
"其他菇類","6366","39300","250196"
"金針菇","20858","34300","715439"
"香菇","5639","1506600","8495763"
"洋菇","4571","111740","510800"
"草莓","8743","153910","1345595"
"洋香瓜","27060","37130","1004731"
"香瓜","22931","31130","713857"
"西瓜","176004","14320","2520380"
"其他果菜類","3513","30600","107499"
"毛豆","69309","13750","952999"
"荷蘭豆","4060","62510","253818"
"菜豆","9990","38510","384715"
"番椒","9024","62960","568140"
"蕃茄","104794","37100","3887847"
"茄子","34874","24760","863485"
"苦瓜","30013","35660","1070270"
"冬瓜","21270","12200","259496"
"胡瓜","48968","26030","1274644"
"越瓜","2088","31570","65930"
"金針菜","308","625480","192773"
"花椰菜","38882","26430","1027661"
"其他葉菜類","156919","20300","3185461"
"不結球白菜","106288","21190","2252248"
"結球白菜","72955","13180","961549"
"甘藍","423364","17180","7273392"
"芹菜","25931","37060","961000"
"甕菜","33918","29150","988712"
"大芥菜","29980","11710","351072"
"其他莖菜類","8279","27200","225196"
"荸薺","104","66800","6952"
"蘆筍","2681","122690","328944"
"竹筍","247958","54890","13610438"
"韭菜","24657","31190","769044"
"茭白筍","30243","64460","1949471"
"蒜頭","39667","80970","3211863"
"蒜","7831","46390","363265"
"洋蔥","57974","16060","931059"
"馬鈴薯","62447","22390","1398177"
"蔥頭","11675","76600","894342"
"蔥","101815","56920","5795324"
"芋","45297","39150","1773358"
"薑","23986","34470","826805"
"其他根菜類","712","27200","19372"
"胡蘿蔔","103898","11570","1202097"
"蘿蔔","92132","6600","608071"
"其他特用作物","0","0","0"
"山藥","14899","28250","420907"
"香花作物","0","0","0"
"樹薯","616","58300","35939"
"芝麻","2104","203690","428631"
"菸草"," 0 "," 0 ","0"
"茶葉","14656","479030","7020702"
"生食用甘蔗","42778","10350","442749"
"製糖甘蔗","532569","963","512864"
"其他豆類","431","24000","10341"
"綠豆","70","93150","6566"
"紅豆","12136","63890","775398"
"花豆","7","20000","134"
"落花生","53198","53570","2849816"
"其他糧食作物","403","32000","12904"
"甘藷","195652","15110","2956301"
"蜀黍","2268","26000","58976"
"栗","309","82500","25451"
"小麥","4831","31550","152415"
"食用玉米","105222","19230","2023416"
"硬質玉米","73540","8950","658187"
"稻米(糙米)","1428251","27930","39891467"
"蠶","-","-","-"
"盆花類","797","1570233","1251224"
"苗圃類","7111","358623","2550172"
"種籽類","1","960000","643"
"球根類","182","38500","7016"
"蘭花","42832","52000","2227252"
"其他切花","23576","63109","1488619"
